UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SULTAN AGENG TIRTAYASA,311048,PERPAJAKAN,Diploma Tiga,66,141,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS INDONESIA,321001,PENDIDIKAN DOKTER,Sarjana,83,3.827,Tidak Ada
UNIVERSITAS INDONESIA,321002,PENDIDIKAN DOKTER GIGI,Sarjana,48,1.086,Tidak Ada
UNIVERSITAS INDONESIA,321003,MATEMATIKA,Sarjana,30,346,Tidak Ada
UNIVERSITAS INDONESIA,321004,FISIKA,Sarjana,42,266,Tidak Ada
UNIVERSITAS INDONESIA,321005,KIMIA,Sarjana,42,307,Tidak Ada
UNIVERSITAS INDONESIA,321006,BIOLOGI,Sarjana,42,262,Tidak Ada
UNIVERSITAS INDONESIA,321007,FARMASI,Sarjana,54,1.100,Tidak Ada
UNIVERSITAS INDONESIA,321008,GEOGRAFI,Sarjana,42,372,Tidak Ada
UNIVERSITAS INDONESIA,321009,TEKNIK SIPIL,Sarjana,60,909,Tidak Ada
UNIVERSITAS INDONESIA,321010,TEKNIK MESIN,Sarjana,54,634,Tidak Ada
UNIVERSITAS INDONESIA,321011,TEKNIK ELEKTRO,Sarjana,60,661,Tidak Ada
UNIVERSITAS INDONESIA,321012,TEKNIK METALURGI & MATERIAL,Sarjana,51,977,Tidak Ada
UNIVERSITAS INDONESIA,321013,ARSITEKTUR,Sarjana,36,826,Tidak Ada
UNIVERSITAS INDONESIA,321014,TEKNIK KIMIA,Sarjana,48,575,Tidak Ada
UNIVERSITAS INDONESIA,321015,ILMU KEPERAWATAN,Sarjana,66,1.003,Tidak Ada
UNIVERSITAS INDONESIA,321016,ILMU KOMPUTER,Sarjana,72,2.259,Tidak Ada
UNIVERSITAS INDONESIA,321017,ILMU KESEHATAN MASYARAKAT,Sarjana,63,1.068,Tidak Ada
UNIVERSITAS INDONESIA,321018,TEKNIK INDUSTRI,Sarjana,79,1.292,Tidak Ada
UNIVERSITAS INDONESIA,321019,TEKNIK PERKAPALAN,Sarjana,39,320,Tidak Ada
UNIVERSITAS INDONESIA,321020,TEKNIK LINGKUNGAN,Sarjana,36,455,Tidak Ada
UNIVERSITAS INDONESIA,321021,TEKNIK KOMPUTER,Sarjana,42,839,Tidak Ada
UNIVERSITAS INDONESIA,321022,SISTEM INFORMASI,Sarjana,72,2.060,Tidak Ada
UNIVERSITAS INDONESIA,321023,ARSITEKTUR INTERIOR,Sarjana,18,482,Tidak Ada
UNIVERSITAS INDONESIA,321024,TEKNOLOGI BIOPROSES,Sarjana,29,311,Tidak Ada
UNIVERSITAS INDONESIA,321025,GIZI,Sarjana,20,697,Tidak Ada
UNIVERSITAS INDONESIA,321026,KESEHATAN LINGKUNGAN,Sarjana,18,285,Tidak Ada
UNIVERSITAS INDONESIA,321027,KESELAMATAN DAN KESEHATAN KERJA,Sarjana,18,634,Tidak Ada
UNIVERSITAS INDONESIA,321028,GEOFISIKA,Sarjana,26,197,Tidak Ada
UNIVERSITAS INDONESIA,321029,GEOLOGI,Sarjana,26,319,Tidak Ada
UNIVERSITAS INDONESIA,321030,STATISTIKA,Sarjana,26,576,Tidak Ada
UNIVERSITAS INDONESIA,321031,AKTUARIA,Sarjana,26,551,Tidak Ada
UNIVERSITAS INDONESIA,321032,TEKNIK BIOMEDIS,Sarjana,15,288,Tidak Ada
UNIVERSITAS INDONESIA,321033,ILMU HUKUM,Sarjana,171,3.478,Tidak Ada
UNIVERSITAS INDONESIA,321034,ARKEOLOGI INDONESIA,Sarjana,24,239,Tidak Ada
UNIVERSITAS INDONESIA,321035,ILMU SEJARAH,Sarjana,24,295,Tidak Ada
UNIVERSITAS INDONESIA,321036,ILMU PSIKOLOGI,Sarjana,99,3.490,Tidak Ada
UNIVERSITAS INDONESIA,321037,ILMU KOMUNIKASI,Sarjana,48,2.247,Tidak Ada
UNIVERSITAS INDONESIA,321038,ILMU POLITIK,Sarjana,24,601,Tidak Ada
UNIVERSITAS INDONESIA,321039,ILMU ADMINISTRASI NEGARA,Sarjana,68,952,Tidak Ada
UNIVERSITAS INDONESIA,321040,KRIMINOLOGI,Sarjana,18,1.597,Tidak Ada
UNIVERSITAS INDONESIA,321041,SOSIOLOGI,Sarjana,24,379,Tidak Ada
UNIVERSITAS INDONESIA,321042,ILMU KESEJAHTERAAN SOSIAL,Sarjana,24,558,Tidak Ada
UNIVERSITAS INDONESIA,321043,ANTROPOLOGI SOSIAL,Sarjana,21,490,Tidak Ada
UNIVERSITAS INDONESIA,321044,ILMU EKONOMI,Sarjana,59,878,Tidak Ada
UNIVERSITAS INDONESIA,321045,ILMU ADMINISTRASI NIAGA,Sarjana,63,918,Tidak Ada
UNIVERSITAS INDONESIA,321046,ILMU ADMINISTRASI FISKAL,Sarjana,68,911,Tidak Ada
UNIVERSITAS INDONESIA,321047,MANAJEMEN,Sarjana,107,2.601,Tidak Ada
UNIVERSITAS INDONESIA,321048,AKUNTANSI,Sarjana,98,2.179,Tidak Ada
UNIVERSITAS INDONESIA,321049,ILMU HUBUNGAN INTERNASIONAL,Sarjana,18,1.188,Tidak Ada
UNIVERSITAS INDONESIA,321050,ILMU PERPUSTAKAAN,Sarjana,24,489,Tidak Ada
UNIVERSITAS INDONESIA,321051,ILMU FILSAFAT,Sarjana,24,343,Tidak Ada
UNIVERSITAS INDONESIA,321052,SASTRA INDONESIA,Sarjana,24,399,Tidak Ada
UNIVERSITAS INDONESIA,321053,SASTRA DAERAH UNTUK SASTRA JAWA,Sarjana,24,137,Tidak Ada
UNIVERSITAS INDONESIA,321054,SASTRA JEPANG,Sarjana,24,605,Tidak Ada
UNIVERSITAS INDONESIA,321055,SASTRA CINA,Sarjana,24,258,Tidak Ada
UNIVERSITAS INDONESIA,321056,SASTRA ARAB,Sarjana,24,532,Tidak Ada
UNIVERSITAS INDONESIA,321057,SASTRA PERANCIS,Sarjana,17,194,Tidak Ada
UNIVERSITAS INDONESIA,321058,SASTRA INGGRIS,Sarjana,24,852,Tidak Ada
UNIVERSITAS INDONESIA,321059,SASTRA JERMAN,Sarjana,17,218,Tidak Ada
UNIVERSITAS INDONESIA,321060,SASTRA BELANDA,Sarjana,24,267,Tidak Ada
UNIVERSITAS INDONESIA,321061,SASTRA RUSIA,Sarjana,24,152,Tidak Ada
UNIVERSITAS INDONESIA,321062,BAHASA DAN KEBUDAYAAN KOREA,Sarjana,17,563,Tidak Ada
UNIVERSITAS INDONESIA,321063,ILMU EKONOMI ISLAM,Sarjana,17,338,Tidak Ada
UNIVERSITAS INDONESIA,321064,BISNIS ISLAM,Sarjana,17,439,Tidak Ada
UNIVERSITAS INDONESIA,321065,MANAJEMEN BISNIS PARIWISATA,Sarjana Terapan,38,520,Tidak Ada
UNIVERSITAS INDONESIA,321066,TERAPI OKUPASI,Sarjana Terapan,38,181,Tidak Ada
UNIVERSITAS INDONESIA,321067,FISIOTERAPI,Sarjana Terapan,38,408,Tidak Ada
UNIVERSITAS INDONESIA,321068,MANAJEMEN REKOD DAN ARSIP,Sarjana Terapan,38,338,Tidak Ada
UNIVERSITAS INDONESIA,321078,BISNIS KREATIF,Sarjana Terapan,38,764,Tidak Ada
UNIVERSITAS INDONESIA,321079,PRODUKSI MEDIA,Sarjana Terapan,38,602,Tidak Ada
UNIVERSITAS INDONESIA,321069,ADMINISTRASI PERPAJAKAN,Diploma Tiga,30,341,Tidak Ada
UNIVERSITAS INDONESIA,321070,ADMINISTRASI PERKANTORAN,Diploma Tiga,30,193,Tidak Ada
UNIVERSITAS INDONESIA,321071,ADMINISTRASI RUMAH SAKIT,Diploma Tiga,30,209,Tidak Ada
UNIVERSITAS INDONESIA,321072,PENYIARAN MULTIMEDIA,Diploma Tiga,30,189,Tidak Ada
UNIVERSITAS INDONESIA,321073,ADMINISTRASI ASURANSI & AKTUARIA,Diploma Tiga,30,75,Tidak Ada
UNIVERSITAS INDONESIA,321074,HUBUNGAN MASYARAKAT,Diploma Tiga,30,231,Tidak Ada
UNIVERSITAS INDONESIA,321075,PERIKLANAN KREATIF,Diploma Tiga,30,230,Tidak Ada
UNIVERSITAS INDONESIA,321076,AKUNTANSI,Diploma Tiga,30,183,Tidak Ada
UNIVERSITAS INDONESIA,321077,ADMINISTRASI KEUANGAN DAN PERBANKAN,Diploma Tiga,30,142,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS NEGERI JAKARTA,323001,PENDIDIKAN MATEMATIKA,Sarjana,36,342,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323002,PENDIDIKAN FISIKA,Sarjana,36,107,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323003,PENDIDIKAN KIMIA,Sarjana,36,116,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323004,PENDIDIKAN BIOLOGI,Sarjana,36,254,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323005,MATEMATIKA,Sarjana,36,304,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323006,FISIKA,Sarjana,36,166,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323007,KIMIA,Sarjana,36,202,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323008,BIOLOGI,Sarjana,36,285,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323009,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRO,Sarjana,36,186,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323010,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,36,138,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323011,PENDIDIKAN VOKASIONAL KONSTRUKSI  BANGUNAN,Sarjana,36,145,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323012,ILMU KEOLAHRAGAAN,Sarjana,54,223,Pendidikan Jasmani dan Olahraga
UNIVERSITAS NEGERI JAKARTA,323013,PENDIDIKAN INFORMATIKA,Sarjana,18,608,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323014,PENDIDIKAN VOKASIONAL TEKNIK ELEKTRONIKA,Sarjana,18,159,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323015,ILMU KOMPUTER,Sarjana,36,1.479,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323016,STATISTIKA,Sarjana,36,542,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323017,REKAYASA KESELAMATAN KEBAKARAN,Sarjana,36,240,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323018,TEKNIK MESIN,Sarjana,36,683,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323019,SISTEM DAN TEKNOLOGI INFORMASI,Sarjana,18,1.294,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323020,TEKNOLOGI PENDIDIKAN,Sarjana,45,267,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323021,PENDIDIKAN KHUSUS,Sarjana,54,267,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323022,MANAJEMEN PENDIDIKAN,Sarjana,55,573,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323023,PENDIDIKAN MASYARAKAT,Sarjana,54,474,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323024,PEND. GURU PAUD,Sarjana,45,573,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323025,BIMBINGAN & KONSELING,Sarjana,45,899,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323026,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,68,1.638,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323027,PSIKOLOGI,Sarjana,180,3.533,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323028,PENDIDIKAN BAHASA INDONESIA,Sarjana,45,539,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323029,SASTRA INDONESIA,Sarjana,45,661,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323030,PENDIDIKAN BAHASA INGGRIS,Sarjana,68,608,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323031,SASTRA INGGRIS,Sarjana,90,1.137,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323032,PENDIDIKAN BAHASA PRANCIS,Sarjana,45,155,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323033,PENDIDIKAN BAHASA JERMAN,Sarjana,45,120,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323034,PENDIDIKAN BAHASA ARAB,Sarjana,65,490,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323035,PENDIDIKAN BAHASA JEPANG,Sarjana,45,454,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323036,PENDIDIKAN TARI,Sarjana,45,92,Tari
UNIVERSITAS NEGERI JAKARTA,323037,PENDIDIKAN MUSIK,Sarjana,68,106,Musik
UNIVERSITAS NEGERI JAKARTA,323038,PENDIDIKAN SENI RUPA,Sarjana,45,156,"Seni Rupa, Desain, dan Kriya"
UNIVERSITAS NEGERI JAKARTA,323039,PENDIDIKAN PANCASILA & KEWARGANEGARAAN,Sarjana,68,285,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323040,PENDIDIKAN GEOGRAFI,Sarjana,54,272,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323041,PENDIDIKAN SEJARAH,Sarjana,49,368,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323042,PENDIDIKAN AGAMA ISLAM,Sarjana,68,1.014,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323043,SOSIOLOGI,Sarjana,45,579,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323044,PENDIDIKAN SOSIOLOGI,Sarjana,45,318,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323045,PENDIDIKAN VOKASIONAL KESEJAHTERAAN KELUARGA,Sarjana,41,196,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323046,PENDIDIKAN JASMANI,Sarjana,113,317,Pendidikan Jasmani dan Olahraga
UNIVERSITAS NEGERI JAKARTA,323047,PENDIDIKAN KEPELATIHAN  OLAHRAGA,Sarjana,68,288,Pendidikan Jasmani dan Olahraga
UNIVERSITAS NEGERI JAKARTA,323048,PENDIDIKAN EKONOMI,Sarjana,45,400,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323049,MANAJEMEN,Sarjana,86,3.060,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323050,AKUNTANSI,Sarjana,68,2.097,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323051,PENDIDIKAN ILMU PENGETAHUAN SOSIAL,Sarjana,45,264,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323052,PENDIDIKAN VOKASIONAL SENI KULINER,Sarjana,34,685,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323053,PENDIDIKAN VOKASIONAL DESAIN FASHION,Sarjana,34,362,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323054,PENDIDIKAN VOKASIONAL TATA RIAS,Sarjana,32,509,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323055,PENDIDIKAN BISNIS,Sarjana,45,491,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323056,PENDIDIKAN BAHASA MANDARIN,Sarjana,45,182,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323057,PENDIDIKAN ADMINISTRASI PERKANTORAN,Sarjana,45,727,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323058,OLAHRAGA REKREASI,Sarjana,45,70,Pendidikan Jasmani dan Olahraga
UNIVERSITAS NEGERI JAKARTA,323059,KEPELATIHAN KECABANGAN OLAHRAGA,Sarjana,41,146,Pendidikan Jasmani dan Olahraga
UNIVERSITAS NEGERI JAKARTA,323060,ILMU KOMUNIKASI,Sarjana,36,3.176,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323061,GEOGRAFI,Sarjana,45,331,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323062,BISNIS DIGITAL,Sarjana,61,1.607,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323063,PENDIDIKAN AKUNTANSI,Sarjana,45,243,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323076,PERPUSTAKAAN DAN SAINS INFORMASI,Sarjana,23,(Prodi Baru),Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323064,HUBUNGAN MASYARAKAT DAN KOMUNIKASI DIGITAL,Sarjana Terapan,45,1.021,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323065,USAHA PERJALANAN WISATA,Sarjana Terapan,45,440,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323066,TEKNOLOGI REKAYASA OTOMASI,Sarjana Terapan,36,45,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323067,TEKNOLOGI REKAYASA MANUFAKTUR,Sarjana Terapan,36,52,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323068,TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN GEDUNG,Sarjana Terapan,36,138,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323069,MANAJEMEN PELABUHAN DAN LOGISTIK MARITIM,Sarjana Terapan,45,436,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323070,SENI KULINER DAN PENGOLAHAN JASA MAKANAN,Sarjana Terapan,34,850,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323071,DESAIN MODE,Sarjana Terapan,34,298,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323072,KOSMETIK DAN PERAWATAN KECANTIKAN,Sarjana Terapan,34,313,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323073,PEMASARAN DIGITAL,Sarjana Terapan,45,444,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323074,ADMINISTRASI PERKANTORAN DIGITAL,Sarjana Terapan,45,751,Tidak Ada
UNIVERSITAS NEGERI JAKARTA,323075,AKUNTANSI SEKTOR PUBLIK,Sarjana Terapan,45,398,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
"UPN ""VETERAN"" JAKARTA",324001,TEKNIK MESIN,Sarjana,68,616,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324002,TEKNIK PERKAPALAN,Sarjana,35,295,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324003,TEKNIK INDUSTRI,Sarjana,70,1.133,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324004,INFORMATIKA,Sarjana,88,1.880,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324005,SISTEM INFORMASI,Sarjana,105,1.647,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324006,KEDOKTERAN,Sarjana,103,3.175,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324007,KEPERAWATAN,Sarjana,70,1.330,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324008,KESEHATAN MASYARAKAT,Sarjana,105,1.578,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324009,GIZI,Sarjana,70,1.350,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324010,TEKNIK ELEKTRO,Sarjana,53,538,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324011,FARMASI,Sarjana,30,1.119,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324012,FISIOTERAPI,Sarjana,35,489,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324013,MANAJEMEN,Sarjana,160,3.056,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324014,AKUNTANSI,Sarjana,135,2.343,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324015,HUBUNGAN INTERNASIONAL,Sarjana,120,1.758,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324016,ILMU KOMUNIKASI,Sarjana,180,3.728,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324017,HUKUM,Sarjana,240,2.815,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324018,EKONOMI PEMBANGUNAN,Sarjana,60,927,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324019,EKONOMI SYARIAH,Sarjana,60,723,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324020,ILMU POLITIK,Sarjana,100,927,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324028,SAINS INFORMASI,Sarjana,60,267,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324021,KEPERAWATAN,Diploma Tiga,35,420,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324022,FISIOTERAPI,Diploma Tiga,35,193,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324024,SISTEM INFORMASI,Diploma Tiga,70,181,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324025,PERBANKAN DAN KEUANGAN,Diploma Tiga,60,221,Tidak Ada
"UPN ""VETERAN"" JAKARTA",324026,AKUNTANSI,Diploma Tiga,55,149,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SINGAPERBANGSA KARAWANG,331001,AGROTEKNOLOGI,Sarjana,80,325,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331002,TEKNIK INDUSTRI,Sarjana,72,891,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331003,TEKNIK MESIN,Sarjana,48,330,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331004,TEKNIK ELEKTRO,Sarjana,60,318,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331005,INFORMATIKA,Sarjana,72,991,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331006,PEND. MATEMATIKA,Sarjana,84,232,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331007,AGRIBISNIS,Sarjana,60,419,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331008,FARMASI,Sarjana,32,795,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331009,GIZI,Sarjana,32,565,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331010,TEKNIK KIMIA,Sarjana,28,177,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331011,ILMU KEOLAHRAGAAN,Sarjana,32,80,Pendidikan Jasmani dan Olahraga
UNIVERSITAS SINGAPERBANGSA KARAWANG,331012,SISTEM INFORMASI,Sarjana,48,660,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331013,TEKNIK LINGKUNGAN,Sarjana,28,275,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331014,ILMU HUKUM,Sarjana,120,742,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331015,MANAJEMEN,Sarjana,112,1.327,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331016,AKUNTANSI,Sarjana,98,966,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331017,PENDIDIKAN MASYARAKAT,Sarjana,42,344,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331018,PEND. BAHASA INGGRIS,Sarjana,70,396,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331019,"PEND. JASMANI, KESEHATAN DAN REKREASI",Sarjana,70,150,Pendidikan Jasmani dan Olahraga
UNIVERSITAS SINGAPERBANGSA KARAWANG,331020,PEND. BAHASA DAN SASTRA INDONESIA,Sarjana,70,481,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331021,ILMU PEMERINTAHAN,Sarjana,70,532,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331022,ILMU KOMUNIKASI,Sarjana,70,1.273,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331023,HUBUNGAN INTERNASIONAL,Sarjana,28,439,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331027,ADMINISTRASI RUMAH SAKIT,Sarjana,20,(Prodi Baru),Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331028,TEKNIK SIPIL,Sarjana,20,(Prodi Baru),Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331029,FISIKA,Sarjana,20,(Prodi Baru),Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331024,AKUNTANSI,Diploma Tiga,42,84,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331025,TEKNIK MESIN,Diploma Tiga,32,68,Tidak Ada
UNIVERSITAS SINGAPERBANGSA KARAWANG,331026,KEBIDANAN,Diploma Tiga,36,227,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
INSTITUT TEKNOLOGI BANDUNG,332001,FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB),Sarjana,150,1.111,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332002,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM),Sarjana,127,2.757,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332005,SEKOLAH FARMASI (SF),Sarjana,58,1.124,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332006,SEKOLAH ILMU DAN TEKNOLOGI HAYATI - SAINS (SITH-S),Sarjana,56,427,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332009,FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD),Sarjana,100,1.429,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332010,"SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK)",Sarjana,59,1.277,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332012,SEKOLAH ILMU DAN TEKNOLOGI HAYATI - REKAYASA (SITH-R),Sarjana,77,653,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332015,FAKULTAS TEKNOLOGI INDUSTRI - KAMPUS CIREBON (FTI-C),Sarjana,20,320,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332016,"SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN - KAMPUS CIREBON (SAPPK-C)",Sarjana,20,271,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332017,FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN - KAMPUS CIREBON (FTTM-C),Sarjana,45,781,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332018,FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN - KAMPUS CIREBON (FITB-C),Sarjana,18,206,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332019,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - MATEMATIKA (FMIPA-M),Sarjana,53,644,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332020,FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM - IPA (FMIPA-IPA),Sarjana,112,637,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332021,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - KOMPUTASI (STEI-K),Sarjana,90,3.848,Tidak Ada
INSTITUT TEKNOLOGI BANDUNG,332022,SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA - REKAYASA (STEI-R),Sarjana,95,1.174,Tidak Ada
