UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS SYIAH KUALA,111037,PROTEKSI TANAMAN,Sarjana,28,61,Tidak Ada
UNIVERSITAS SYIAH KUALA,111038,PERENCANAAN WILAYAH DAN KOTA,Sarjana,42,340,Tidak Ada
UNIVERSITAS SYIAH KUALA,111039,KEHUTANAN,Sarjana,42,163,Tidak Ada
UNIVERSITAS SYIAH KUALA,111040,TEKNIK KOMPUTER,Sarjana,56,738,Tidak Ada
UNIVERSITAS SYIAH KUALA,111041,EKONOMI PEMBANGUNAN,Sarjana,56,378,Tidak Ada
UNIVERSITAS SYIAH KUALA,111042,MANAJEMEN,Sarjana,70,1.232,Tidak Ada
UNIVERSITAS SYIAH KUALA,111043,AKUNTANSI,Sarjana,70,772,Tidak Ada
UNIVERSITAS SYIAH KUALA,111044,ILMU HUKUM,Sarjana,196,1.345,Tidak Ada
UNIVERSITAS SYIAH KUALA,111045,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,Sarjana,49,237,Tidak Ada
UNIVERSITAS SYIAH KUALA,111046,PENDIDIKAN SEJARAH,Sarjana,42,162,Tidak Ada
UNIVERSITAS SYIAH KUALA,111047,PENDIDIKAN EKONOMI,Sarjana,56,137,Tidak Ada
UNIVERSITAS SYIAH KUALA,111048,PENDIDIKAN GEOGRAFI,Sarjana,56,106,Tidak Ada
UNIVERSITAS SYIAH KUALA,111049,PENDIDIKAN BAHASA INDONESIA,Sarjana,56,320,Tidak Ada
UNIVERSITAS SYIAH KUALA,111050,PENDIDIKAN BAHASA INGGRIS,Sarjana,56,361,Tidak Ada
UNIVERSITAS SYIAH KUALA,111051,PENDIDIKAN SENI DRAMA TARI DAN MUSIK,Sarjana,56,64,Sendratasik
UNIVERSITAS SYIAH KUALA,111052,PENDIDIKAN KESEJAHTERAAN KELUARGA,Sarjana,56,446,Tidak Ada
UNIVERSITAS SYIAH KUALA,111053,PEND. JASMANI KESEHATAN DAN REKREASI,Sarjana,56,177,Pendidikan Jasmani dan Olahraga
UNIVERSITAS SYIAH KUALA,111054,BIMBINGAN KONSELING,Sarjana,42,592,Tidak Ada
UNIVERSITAS SYIAH KUALA,111055,PENDIDIKAN GURU SEKOLAH DASAR,Sarjana,70,827,Tidak Ada
UNIVERSITAS SYIAH KUALA,111056,PSIKOLOGI,Sarjana,28,800,Tidak Ada
UNIVERSITAS SYIAH KUALA,111057,ILMU POLITIK,Sarjana,56,222,Tidak Ada
UNIVERSITAS SYIAH KUALA,111058,SOSIOLOGI,Sarjana,56,204,Tidak Ada
UNIVERSITAS SYIAH KUALA,111059,ILMU KOMUNIKASI,Sarjana,63,723,Tidak Ada
UNIVERSITAS SYIAH KUALA,111060,PENDIDIKAN GURU PAUD,Sarjana,49,333,Tidak Ada
UNIVERSITAS SYIAH KUALA,111061,ILMU PEMERINTAHAN,Sarjana,63,356,Tidak Ada
UNIVERSITAS SYIAH KUALA,111062,EKONOMI ISLAM,Sarjana,56,388,Tidak Ada
UNIVERSITAS SYIAH KUALA,111063,MANAJEMEN (PSDKU GAYO LUES),Sarjana,28,32,Tidak Ada
UNIVERSITAS SYIAH KUALA,111065,AKUNTANSI PERPAJAKAN,Sarjana Terapan,28,90,Tidak Ada
UNIVERSITAS SYIAH KUALA,111064,KESEHATAN HEWAN,Diploma Tiga,11,25,Tidak Ada
UNIVERSITAS SYIAH KUALA,111066,MANAJEMEN AGRIBISNIS,Diploma Tiga,28,20,Tidak Ada
UNIVERSITAS SYIAH KUALA,111067,TEKNIK LISTRIK,Diploma Tiga,14,9,Tidak Ada
UNIVERSITAS SYIAH KUALA,111068,BUDIDAYA PETERNAKAN,Diploma Tiga,14,11,Tidak Ada
UNIVERSITAS SYIAH KUALA,111069,TEKNIK MESIN,Diploma Tiga,14,23,Tidak Ada
UNIVERSITAS SYIAH KUALA,111071,TEKNIK SIPIL,Diploma Tiga,28,38,Tidak Ada
UNIVERSITAS SYIAH KUALA,111072,SEKRETARI,Diploma Tiga,14,6,Tidak Ada
UNIVERSITAS SYIAH KUALA,111073,MANAJEMEN PERUSAHAAN,Diploma Tiga,14,20,Tidak Ada
UNIVERSITAS SYIAH KUALA,111075,AKUNTANSI,Diploma Tiga,28,22,Tidak Ada
UNIVERSITAS SYIAH KUALA,111076,KEUANGAN DAN PERBANKAN,Diploma Tiga,28,39,Tidak Ada
UNIVERSITAS SYIAH KUALA,111077,MANAJEMEN INFORMATIKA,Diploma Tiga,28,42,Tidak Ada
UNIVERSITAS,KODE,PROGRAM STUDI,JENJANG,DAYA TAMPUNG 2024,PEMINAT 2023,JENIS PORTOFOLIO
UNIVERSITAS MALIKUSSALEH,112001,TEKNIK SIPIL,Sarjana,120,250,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112002,TEKNIK MESIN,Sarjana,120,157,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112003,TEKNIK KIMIA,Sarjana,120,119,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112004,TEKNIK ELEKTRO,Sarjana,80,109,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112005,TEKNIK INDUSTRI,Sarjana,100,272,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112006,TEKNIK INFORMATIKA,Sarjana,100,537,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112007,TEKNIK ARSITEKTUR,Sarjana,80,100,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112008,AGROEKOTEKNOLOGI,Sarjana,108,203,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112009,AGRIBISNIS,Sarjana,60,163,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112010,AKUAKULTUR,Sarjana,36,34,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112011,KEDOKTERAN,Sarjana,60,1.317,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112012,PENDIDIKAN FISIKA,Sarjana,48,38,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112013,PENDIDIKAN KIMIA,Sarjana,48,27,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112014,PENDIDIKAN MATEMATIKA,Sarjana,48,61,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112015,PENDIDIKAN VOKASIONAL TEKNIK MESIN,Sarjana,24,23,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112016,SISTEM INFORMASI,Sarjana,80,219,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112017,ILMU KELAUTAN,Sarjana,36,53,Tidak Ada
UNIVERSITAS MALIKUSSALEH,112018,TEKNIK MATERIAL,Sarjana,48,29,Tidak Ada
